Name,Number,Position,Height,Weight,Age,Exp,College
Brian Allen,55.0,OL,2-Jun,303.0,25.0,3,Michigan State
Tremayne Anchrum Jr.,72.0,OL,2-Jun,314.0,22.0,R,Clemson
Austin Blythe,66.0,OL,3-Jun,298.0,28.0,5,Iowa
Michael Brockers,90.0,DL,5-Jun,305.0,30.0,9,LSU
Malcolm Brown,34.0,RB,11-May,222.0,27.0,5,Texas
Raymond Calais,30.0,RB,8-May,188.0,22.0,R,Louisiana-Lafayette
Austin Corbett,63.0,OL,4-Jun,306.0,25.0,3,Nevada
Aaron Donald,99.0,DL,1-Jun,280.0,29.0,7,Pittsburgh
Samson Ebukam,50.0,OLB,3-Jun,245.0,25.0,4,Eastern Washington
David Edwards,73.0,OL,6-Jun,308.0,23.0,2,Wisconsin
Gerald Everett,81.0,TE,3-Jun,240.0,26.0,4,South Alabama
Leonard Floyd,54.0,OLB,5-Jun,240.0,28.0,5,Georgia
Morgan Fox,97.0,DL,3-Jun,275.0,26.0,4,Colorado State-Pueblo
Jordan Fuller,32.0,S,2-Jun,203.0,22.0,R,Ohio State
Greg Gaines,91.0,DL,1-Jun,312.0,24.0,2,Washington
Matt Gay,1.0,K,Jun-00,232.0,26.0,2,Utah
Jared Goff,16.0,QB,4-Jun,222.0,26.0,5,California
Rob Havenstein,79.0,OL,8-Jun,330.0,28.0,6,Wisconsin
Johnny Hekker,6.0,P,5-Jun,241.0,30.0,9,Oregon State
Darrell Henderson Jr.,27.0,RB,8-May,208.0,23.0,2,Memphis
Tyler Higbee,89.0,TE,6-Jun,255.0,27.0,5,Western Kentucky
Troy Hill,22.0,CB,11-May,183.0,29.0,5,Oregon
Justin Hollins,58.0,LB,5-Jun,248.0,24.0,2,Oregon
Brycen Hopkins,88.0,TE,4-Jun,245.0,23.0,R,Purdue
Trishton Jackson,83.0,WR,1-Jun,191.0,22.0,R,Syracuse
Van Jefferson,12.0,WR,1-Jun,200.0,24.0,R,Florida
John Johnson III,43.0,S,Jun-00,209.0,25.0,4,Boston College
Xavier Jones,35.0,RB,11-May,208.0,23.0,R,Southern Methodist
Sebastian Joseph-Day,69.0,DL,4-Jun,310.0,25.0,3,Rutgers
Cooper Kupp,10.0,WR,2-Jun,208.0,27.0,4,Eastern Washington
Terrell Lewis,52.0,OLB,5-Jun,262.0,22.0,R,Alabama
David Long Jr.,25.0,CB,11-May,196.0,22.0,2,Michigan
Jake McQuaide,44.0,LS,2-Jun,235.0,33.0,10,Ohio State
Johnny Mundt,82.0,TE,4-Jun,233.0,26.0,3,Oregon
Joe Noteboom,70.0,OL,5-Jun,321.0,25.0,3,TCU
Ogbonnia Okoronkwo,45.0,OLB,2-Jun,253.0,25.0,3,Oklahoma
Natrez Patrick,57.0,OLB,3-Jun,242.0,23.0,2,Georgia
Jalen Ramsey,20.0,CB,1-Jun,208.0,26.0,5,Florida State
J.R. Reed,36.0,DB,1-Jun,194.0,24.0,R,Georgia
Troy Reeder,51.0,ILB,3-Jun,245.0,26.0,2,Delaware
Josh Reynolds,11.0,WR,3-Jun,196.0,25.0,4,Texas A&M
Derek Rivers,49.0,DE,5-Jun,250.0,26.0,4,Youngstown State
A'Shawn Robinson,94.0,DL,4-Jun,330.0,25.0,5,Alabama
Nick Scott,33.0,S,11-May,201.0,25.0,2,Penn State
Coleman Shelton,65.0,OL,4-Jun,299.0,25.0,2,Washington
Nsimba Webster,14.0,WR,10-May,180.0,24.0,2,Eastern Washington
Darious Williams,31.0,CB,9-May,187.0,27.0,3,Alabama-Birmingham
John Wolford,9.0,QB,1-Jun,200.0,25.0,1,Wake Forest
Robert Woods,17.0,WR,Jun-00,195.0,28.0,8,USC
Kenny Young,41.0,ILB,1-Jun,234.0,26.0,3,UCLA
Olasunkanmi Adeniyi,,,,,,,
Marcus Allen,27.0,LB,2-Jun,215.0,24.0,2,Penn State
Tyson Alualu,94.0,DE,3-Jun,304.0,33.0,11,California
Jordan Berry,4.0,P,5-Jun,195.0,29.0,6,Eastern Kentucky
Chris Boswell,9.0,K,2-Jun,185.0,29.0,6,Rice
Antoine Brooks Jr.,25.0,S,11-May,210.0,23.0,R,Maryland
Isaiah Buggs,96.0,DE,3-Jun,295.0,24.0,2,Alabama
Kameron Canaday,57.0,LS,4-Jun,245.0,28.0,4,Portland State
Chase Claypool,11.0,WR,4-Jun,238.0,22.0,R,Notre Dame
James Conner,30.0,RB,1-Jun,233.0,25.0,4,Pittsburgh
Jordan Dangerfield,37.0,S,11-May,199.0,29.0,4,Towson
Carlos Davis,73.0,DT,2-Jun,320.0,24.0,R,Nebraska
Sean Davis,21.0,S,1-Jun,202.0,27.0,5,Maryland
David DeCastro,66.0,G,5-Jun,316.0,30.0,9,Stanford
Joshua Dobbs,5.0,QB,3-Jun,216.0,25.0,4,Tennessee
Kevin Dotson,69.0,OL,4-Jun,321.0,24.0,R,Louisiana
Eric Ebron,85.0,TE,4-Jun,253.0,27.0,7,North Carolina
Terrell Edmunds,34.0,S,1-Jun,217.0,23.0,3,Virginia Tech
Jayrone Elliott,45.0,LB,3-Jun,240.0,29.0,5,Toledo
Minkah Fitzpatrick,39.0,S,1-Jun,207.0,24.0,3,Alabama
Ulysees Gilbert III,54.0,LB,Jun-00,230.0,23.0,2,Akron
Derwin Gray,77.0,OT,4-Jun,320.0,25.0,1,Maryland
Joe Haden,23.0,CB,11-May,195.0,31.0,11,Florida
J.C. Hassenauer,60.0,C,2-Jun,295.0,26.0,1,Alabama
Jerald Hawkins,65.0,OT,6-Jun,305.0,27.0,5,LSU
Cameron Heyward,97.0,DT,5-Jun,295.0,31.0,10,Ohio State
Alex Highsmith,56.0,LB,4-Jun,242.0,23.0,R,Charlotte
Mike Hilton,28.0,CB,9-May,184.0,26.0,4,Mississippi
Danny Isidora,64.0,OL,3-Jun,306.0,26.0,4,Miami (Fla.)
Diontae Johnson,18.0,WR,10-May,183.0,24.0,2,Toledo
Justin Layne,31.0,CB,2-Jun,192.0,22.0,2,Michigan State
Cassius Marsh,49.0,DE,4-Jun,254.0,28.0,7,UCLA
Ray-Ray McCloud,14.0,WR,9-May,190.0,24.0,3,Clemson
Vance McDonald,89.0,TE,4-Jun,267.0,30.0,8,Rice
Anthony McFarland Jr.,26.0,RB,8-May,193.0,22.0,R,Maryland
Henry Mondeaux,99.0,DE,4-Jun,280.0,25.0,1,Oregon
Steven Nelson,22.0,CB,11-May,194.0,27.0,6,Oregon State
Chukwuma Okorafor,76.0,OL,6-Jun,320.0,23.0,3,Western Michigan
James Pierre,42.0,DB,2-Jun,185.0,24.0,R,Florida Atlantic
Maurkice Pouncey,53.0,C,4-Jun,304.0,31.0,11,Florida
Ben Roethlisberger,7.0,QB,5-Jun,240.0,38.0,17,Miami (Ohio)
